match_id,stage,date,pens,pens_home_score,pens_away_score,team_name_home,team_name_away,team_home_score,team_away_score,possession_home,possession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,duels_won_home,duels_won_away,prediction_team_home_win,prediction_draw,prediction_team_away_win,prediction_quantity,location,lineup_home,lineup_away,player_names_home,player_numbers_home,player_names_away,player_numbers_away
1,Matchday 18,Yesterday,False,False,False,Ñublense,Colo Colo,0,0,0.41,0.59,6,14,4,5,0.42,0.58,0.13,0.03,0.84,4277,Estadio Municipal Nelson Oyarzún Arenas,"[{'player_name': ' Valdés', 'player_number': '30'}, {'player_name': ' Sosa', 'player_number': '26'}, {'player_name': ' Oyarzo', 'player_number': '7'}, {'player_name': ' Rivera', 'player_number': '28'}, {'player_name': ' Reyes', 'player_number': '6'}, {'player_name': ' Leiva', 'player_number': '11'}, {'player_name': ' Campusano', 'player_number': '14'}, {'player_name': ' Zalazar', 'player_number': '33'}, {'player_name': ' Caroca', 'player_number': '5'}, {'player_name': ' Cerezo', 'player_number': '18'}, {'player_name': ' Pérez', 'player_number': '1'}]","[{'player_name': ' Thompson', 'player_number': '24'}, {'player_name': ' Pizarro', 'player_number': '9'}, {'player_name': ' Bolados', 'player_number': '11'}, {'player_name': ' Pizarro', 'player_number': '34'}, {'player_name': ' Fuentes', 'player_number': '6'}, {'player_name': ' Gil', 'player_number': '5'}, {'player_name': ' Bouzat', 'player_number': '18'}, {'player_name': ' González', 'player_number': '23'}, {'player_name': ' Saldivia', 'player_number': '4'}, {'player_name': ' Opazo', 'player_number': '32'}, {'player_name': ' Cortés', 'player_number': '1'}]","['Valdés', 'Sosa', 'Oyarzo', 'Rivera', 'Reyes', 'Leiva', 'Campusano', 'Zalazar', 'Caroca', 'Cerezo', 'Pérez']","['30', '26', '7', '28', '6', '11', '14', '33', '5', '18', '1']","['Thompson', 'Pizarro', 'Bolados', 'Pizarro', 'Fuentes', 'Gil', 'Bouzat', 'González', 'Saldivia', 'Opazo', 'Cortés']","['24', '9', '11', '34', '6', '5', '18', '23', '4', '32', '1']"
2,Matchday 18,Yesterday,False,False,False,Audax,Curicó Unido,3,0,0.45,0.55,16,9,5,3,0.46,0.54,0.66,0.08,0.26,691,Estadio Municipal de La Florida,"[{'player_name': ' Sosa', 'player_number': '9'}, {'player_name': ' Fuentes', 'player_number': '10'}, {'player_name': ' Riep', 'player_number': '22'}, {'player_name': ' Rojas', 'player_number': '16'}, {'player_name': ' Sepúlveda', 'player_number': '8'}, {'player_name': ' Monreal', 'player_number': '27'}, {'player_name': ' Matus', 'player_number': '17'}, {'player_name': ' Collao', 'player_number': '18'}, {'player_name': ' Labrín', 'player_number': '2'}, {'player_name': ' Fernández', 'player_number': '7'}, {'player_name': ' Ahumada', 'player_number': '12'}]","[{'player_name': ' Fritz', 'player_number': '7'}, {'player_name': ' Coelho', 'player_number': '27'}, {'player_name': ' De La Fuente', 'player_number': '19'}, {'player_name': ' González', 'player_number': '14'}, {'player_name': ' Leiva', 'player_number': '10'}, {'player_name': ' Sandoval', 'player_number': '8'}, {'player_name': ' Zavala', 'player_number': '15'}, {'player_name': ' Muñoz', 'player_number': '33'}, {'player_name': ' Cahais', 'player_number': '3'}, {'player_name': ' Bechtholdt', 'player_number': '16'}, {'player_name': ' Cerda', 'player_number': '12'}]","['Sosa', 'Fuentes', 'Riep', 'Rojas', 'Sepúlveda', 'Monreal', 'Matus', 'Collao', 'Labrín', 'Fernández', 'Ahumada']","['9', '10', '22', '16', '8', '27', '17', '18', '2', '7', '12']","['Fritz', 'Coelho', 'De La Fuente', 'González', 'Leiva', 'Sandoval', 'Zavala', 'Muñoz', 'Cahais', 'Bechtholdt', 'Cerda']","['7', '27', '19', '14', '10', '8', '15', '33', '3', '16', '12']"
3,Matchday 18,23/07/2023,False,False,False,Univ Católica,Coquimbo,2,1,0.52,0.48,15,11,6,2,0.48,0.52,0.76,0.03,0.21,1253,Estadio Santa Laura-Universidad SEK,"[{'player_name': ' Cuevas', 'player_number': '15'}, {'player_name': ' Zampedri', 'player_number': '9'}, {'player_name': ' Montes', 'player_number': '35'}, {'player_name': ' Saavedra', 'player_number': '8'}, {'player_name': ' Aravena', 'player_number': '18'}, {'player_name': ' Rovira', 'player_number': '16'}, {'player_name': ' Parot', 'player_number': '24'}, {'player_name': ' Kagelmacher', 'player_number': '55'}, {'player_name': ' Ampuero', 'player_number': '17'}, {'player_name': ' Nieto', 'player_number': '23'}, {'player_name': ' Peranic', 'player_number': '22'}]","[{'player_name': ' Holgado', 'player_number': '9'}, {'player_name': ' Chandía', 'player_number': '31'}, {'player_name': ' Cabral', 'player_number': '29'}, {'player_name': ' Farfán', 'player_number': '17'}, {'player_name': ' Galani', 'player_number': '7'}, {'player_name': ' Glaby', 'player_number': '6'}, {'player_name': ' Cornejo', 'player_number': '16'}, {'player_name': ' Carrasco', 'player_number': '3'}, {'player_name': ' Sánchez', 'player_number': '27'}, {'player_name': ' Escobar', 'player_number': '5'}, {'player_name': ' Sánchez', 'player_number': '13'}]","['Cuevas', 'Zampedri', 'Montes', 'Saavedra', 'Aravena', 'Rovira', 'Parot', 'Kagelmacher', 'Ampuero', 'Nieto', 'Peranic']","['15', '9', '35', '8', '18', '16', '24', '55', '17', '23', '22']","['Holgado', 'Chandía', 'Cabral', 'Farfán', 'Galani', 'Glaby', 'Cornejo', 'Carrasco', 'Sánchez', 'Escobar', 'Sánchez']","['9', '31', '29', '17', '7', '6', '16', '3', '27', '5', '13']"
4,Matchday 18,23/07/2023,False,False,False,Everton Vina Del Mar,Unión Española,1,0,0.45,0.55,18,9,5,3,0.49,0.51,0.42,0.07,0.51,443,Estadio Sausalito,"[{'player_name': ' Sáez', 'player_number': '11'}, {'player_name': ' Sánchez', 'player_number': '19'}, {'player_name': ' Cuevas', 'player_number': '10'}, {'player_name': ' Montes', 'player_number': '28'}, {'player_name': ' Madrid', 'player_number': '6'}, {'player_name': ' Berríos', 'player_number': '21'}, {'player_name': ' Riquelme', 'player_number': '2'}, {'player_name': ' Oyarzún', 'player_number': '24'}, {'player_name': ' Echeverría', 'player_number': '20'}, {'player_name': ' Espejo', 'player_number': '23'}, {'player_name': ' Torgnascioli', 'player_number': '1'}]","[{'player_name': ' Garate', 'player_number': '23'}, {'player_name': ' Norambuena', 'player_number': '24'}, {'player_name': ' Uribe', 'player_number': '11'}, {'player_name': ' Carvallo', 'player_number': '21'}, {'player_name': ' Núñez', 'player_number': '14'}, {'player_name': ' Leyton', 'player_number': '8'}, {'player_name': ' Magnasco', 'player_number': '29'}, {'player_name': ' Tiznado', 'player_number': '30'}, {'player_name': ' Villagra', 'player_number': '28'}, {'player_name': ' Ramírez', 'player_number': '16'}, {'player_name': ' Pérez', 'player_number': '25'}]","['Sáez', 'Sánchez', 'Cuevas', 'Montes', 'Madrid', 'Berríos', 'Riquelme', 'Oyarzún', 'Echeverría', 'Espejo', 'Torgnascioli']","['11', '19', '10', '28', '6', '21', '2', '24', '20', '23', '1']","['Garate', 'Norambuena', 'Uribe', 'Carvallo', 'Núñez', 'Leyton', 'Magnasco', 'Tiznado', 'Villagra', 'Ramírez', 'Pérez']","['23', '24', '11', '21', '14', '8', '29', '30', '28', '16', '25']"
5,Matchday 18,23/07/2023,False,False,False,U. de Chile,Palestino,0,1,0.46,0.54,11,12,1,4,0.53,0.47,0.85,0.03,0.12,2325,Estadio Santa Laura-Universidad SEK,"[{'player_name': ' Guerra', 'player_number': '16'}, {'player_name': ' Palacios', 'player_number': '30'}, {'player_name': ' Andía', 'player_number': '6'}, {'player_name': ' Assadi', 'player_number': '10'}, {'player_name': ' Ojeda', 'player_number': '5'}, {'player_name': ' Poblete', 'player_number': '28'}, {'player_name': ' Gómez', 'player_number': '19'}, {'player_name': ' Casanova', 'player_number': '17'}, {'player_name': ' Domínguez', 'player_number': '23'}, {'player_name': ' Zaldivia', 'player_number': '22'}, {'player_name': ' Campos', 'player_number': '1'}]","[{'player_name': ' Salas', 'player_number': '9'}, {'player_name': ' Barticciotto', 'player_number': '14'}, {'player_name': ' Véjar', 'player_number': '19'}, {'player_name': ' Cornejo', 'player_number': '8'}, {'player_name': ' Abrigo', 'player_number': '37'}, {'player_name': ' Farías', 'player_number': '5'}, {'player_name': ' Carrasco', 'player_number': '7'}, {'player_name': ' Suárez', 'player_number': '13'}, {'player_name': ' Meza', 'player_number': '2'}, {'player_name': ' Ceza', 'player_number': '4'}, {'player_name': ' Rigamonti', 'player_number': '1'}]","['Guerra', 'Palacios', 'Andía', 'Assadi', 'Ojeda', 'Poblete', 'Gómez', 'Casanova', 'Domínguez', 'Zaldivia', 'Campos']","['16', '30', '6', '10', '5', '28', '19', '17', '23', '22', '1']","['Salas', 'Barticciotto', 'Véjar', 'Cornejo', 'Abrigo', 'Farías', 'Carrasco', 'Suárez', 'Meza', 'Ceza', 'Rigamonti']","['9', '14', '19', '8', '37', '5', '7', '13', '2', '4', '1']"
6,Matchday 18,22/07/2023,False,False,False,Huachipato,O'Higgins,2,0,0.44,0.56,17,16,6,3,0.51,0.49,0.53,0.06,0.41,549,Estadio Huachipato-CAP Acero,"[{'player_name': ' Martínez', 'player_number': '23'}, {'player_name': ' Magnin', 'player_number': '11'}, {'player_name': ' Torres', 'player_number': '29'}, {'player_name': ' Altamirano', 'player_number': '7'}, {'player_name': ' Sepúlveda', 'player_number': '6'}, {'player_name': ' Montes', 'player_number': '8'}, {'player_name': ' Baeza', 'player_number': '17'}, {'player_name': ' Loyola', 'player_number': '35'}, {'player_name': ' Gazzolo', 'player_number': '4'}, {'player_name': ' Gutiérrez', 'player_number': '18'}, {'player_name': ' Castellón', 'player_number': '25'}]","[{'player_name': ' Belmar', 'player_number': '19'}, {'player_name': ' Blando', 'player_number': '9'}, {'player_name': ' Díaz', 'player_number': '30'}, {'player_name': ' Hernandez', 'player_number': '8'}, {'player_name': ' Moya', 'player_number': '13'}, {'player_name': ' Castro', 'player_number': '11'}, {'player_name': ' González', 'player_number': '17'}, {'player_name': ' González', 'player_number': '4'}, {'player_name': ' Fuentes', 'player_number': '6'}, {'player_name': ' Hormazábal', 'player_number': '7'}, {'player_name': ' Carreño', 'player_number': '1'}]","['Martínez', 'Magnin', 'Torres', 'Altamirano', 'Sepúlveda', 'Montes', 'Baeza', 'Loyola', 'Gazzolo', 'Gutiérrez', 'Castellón']","['23', '11', '29', '7', '6', '8', '17', '35', '4', '18', '25']","['Belmar', 'Blando', 'Díaz', 'Hernandez', 'Moya', 'Castro', 'González', 'González', 'Fuentes', 'Hormazábal', 'Carreño']","['19', '9', '30', '8', '13', '11', '17', '4', '6', '7', '1']"
7,Matchday 18,22/07/2023,False,False,False,Copiapó,Cobresal,0,3,0.57,0.43,15,8,2,6,0.37,0.63,0.33,0.07,0.6,429,Estadio Luis Valenzuela Hermosilla,"[{'player_name': ' Quinteros', 'player_number': '29'}, {'player_name': ' Valladares', 'player_number': '24'}, {'player_name': ' Rozas', 'player_number': '14'}, {'player_name': ' Tati', 'player_number': '20'}, {'player_name': ' Medel', 'player_number': '21'}, {'player_name': ' Jaime', 'player_number': '23'}, {'player_name': ' Toro', 'player_number': '17'}, {'player_name': ' García', 'player_number': '15'}, {'player_name': ' Sills', 'player_number': '19'}, {'player_name': ' Ortíz', 'player_number': '4'}, {'player_name': ' Espinoza', 'player_number': '22'}]","[{'player_name': ' Castro', 'player_number': '16'}, {'player_name': ' Munder', 'player_number': '18'}, {'player_name': ' Valencia', 'player_number': '9'}, {'player_name': ' García', 'player_number': '14'}, {'player_name': ' Camargo', 'player_number': '6'}, {'player_name': ' Pacheco', 'player_number': '2'}, {'player_name': ' Jorquera', 'player_number': '7'}, {'player_name': ' Alarcón', 'player_number': '5'}, {'player_name': ' Silva', 'player_number': '26'}, {'player_name': ' Pacheco', 'player_number': '23'}, {'player_name': ' Requena', 'player_number': '22'}]","['Quinteros', 'Valladares', 'Rozas', 'Tati', 'Medel', 'Jaime', 'Toro', 'García', 'Sills', 'Ortíz', 'Espinoza']","['29', '24', '14', '20', '21', '23', '17', '15', '19', '4', '22']","['Castro', 'Munder', 'Valencia', 'García', 'Camargo', 'Pacheco', 'Jorquera', 'Alarcón', 'Silva', 'Pacheco', 'Requena']","['16', '18', '9', '14', '6', '2', '7', '5', '26', '23', '22']"
8,Matchday 18,21/07/2023,False,False,False,U. La Calera,Magallanes,2,1,0.42,0.58,9,17,4,6,0.56,0.44,0.61,0.07,0.32,485,Estadio Municipal Nicolás Chahuán,"[{'player_name': ' Orellana', 'player_number': '11'}, {'player_name': ' Passerini', 'player_number': '9'}, {'player_name': ' Lomónaco', 'player_number': '15'}, {'player_name': ' Buonanott', 'player_number': '18'}, {'player_name': ' Alarcón', 'player_number': '8'}, {'player_name': ' Max', 'player_number': '35'}, {'player_name': ' Díaz', 'player_number': '4'}, {'player_name': ' Freytes', 'player_number': '3'}, {'player_name': ' Ferrario', 'player_number': '13'}, {'player_name': ' Salinas', 'player_number': '17'}, {'player_name': ' Carabalí', 'player_number': '12'}]","[{'player_name': ' Flores', 'player_number': '17'}, {'player_name': ' Larrivey', 'player_number': '9'}, {'player_name': ' Alfaro', 'player_number': '7'}, {'player_name': ' Espinoza', 'player_number': '14'}, {'player_name': ' Canales', 'player_number': '27'}, {'player_name': ' Aránguiz', 'player_number': '10'}, {'player_name': ' Vásquez', 'player_number': '4'}, {'player_name': ' Berardo', 'player_number': '6'}, {'player_name': ' Vilches', 'player_number': '5'}, {'player_name': ' Piñero', 'player_number': '2'}, {'player_name': ' Tapia', 'player_number': '30'}]","['Orellana', 'Passerini', 'Lomónaco', 'Buonanott', 'Alarcón', 'Max', 'Díaz', 'Freytes', 'Ferrario', 'Salinas', 'Carabalí']","['11', '9', '15', '18', '8', '35', '4', '3', '13', '17', '12']","['Flores', 'Larrivey', 'Alfaro', 'Espinoza', 'Canales', 'Aránguiz', 'Vásquez', 'Berardo', 'Vilches', 'Piñero', 'Tapia']","['17', '9', '7', '14', '27', '10', '4', '6', '5', '2', '30']"
9,Matchday 17,17/07/2023,False,False,False,Unión Española,U. de Chile,3,0,0.49,0.51,13,17,8,6,0.54,0.46,0.18,0.03,0.79,3360,Estadio Santa Laura-Universidad SEK,"[{'player_name': ' Garate', 'player_number': '23'}, {'player_name': ' Yáñez', 'player_number': '7'}, {'player_name': ' Uribe', 'player_number': '11'}, {'player_name': ' Piñeiro', 'player_number': '10'}, {'player_name': ' Núñez', 'player_number': '14'}, {'player_name': ' Leyton', 'player_number': '8'}, {'player_name': ' Pavez', 'player_number': '6'}, {'player_name': ' Tiznado', 'player_number': '30'}, {'player_name': ' Villagra', 'player_number': '28'}, {'player_name': ' Ramírez', 'player_number': '16'}, {'player_name': ' Pérez', 'player_number': '25'}]","[{'player_name': ' Guerra', 'player_number': '16'}, {'player_name': ' Palacios', 'player_number': '30'}, {'player_name': ' Morales', 'player_number': '14'}, {'player_name': ' Assadi', 'player_number': '10'}, {'player_name': ' Ojeda', 'player_number': '5'}, {'player_name': ' Poblete', 'player_number': '28'}, {'player_name': ' Gómez', 'player_number': '19'}, {'player_name': ' Casanova', 'player_number': '17'}, {'player_name': ' Domínguez', 'player_number': '23'}, {'player_name': ' Zaldivia', 'player_number': '22'}, {'player_name': ' Campos', 'player_number': '1'}]","['Garate', 'Yáñez', 'Uribe', 'Piñeiro', 'Núñez', 'Leyton', 'Pavez', 'Tiznado', 'Villagra', 'Ramírez', 'Pérez']","['23', '7', '11', '10', '14', '8', '6', '30', '28', '16', '25']","['Guerra', 'Palacios', 'Morales', 'Assadi', 'Ojeda', 'Poblete', 'Gómez', 'Casanova', 'Domínguez', 'Zaldivia', 'Campos']","['16', '30', '14', '10', '5', '28', '19', '17', '23', '22', '1']"
10,Matchday 17,17/07/2023,False,False,False,Palestino,Coquimbo,1,1,0.64,0.36,17,11,7,4,0.56,0.44,0.54,0.07,0.39,780,Estadio Municipal de La Cisterna,"[{'player_name': ' Salas', 'player_number': '9'}, {'player_name': ' Barticciotto', 'player_number': '14'}, {'player_name': ' Benítez', 'player_number': '11'}, {'player_name': ' Farías', 'player_number': '5'}, {'player_name': ' Dávila', 'player_number': '10'}, {'player_name': ' Carrasco', 'player_number': '7'}, {'player_name': ' Véjar', 'player_number': '19'}, {'player_name': ' Suárez', 'player_number': '13'}, {'player_name': ' Ceza', 'player_number': '4'}, {'player_name': ' Zúñiga', 'player_number': '28'}, {'player_name': ' Rigamonti', 'player_number': '1'}]","[{'player_name': ' Holgado', 'player_number': '9'}, {'player_name': ' Cabral', 'player_number': '29'}, {'player_name': ' Chandía', 'player_number': '31'}, {'player_name': ' Galani', 'player_number': '7'}, {'player_name': ' Glaby', 'player_number': '6'}, {'player_name': ' Farfán', 'player_number': '17'}, {'player_name': ' Cornejo', 'player_number': '16'}, {'player_name': ' Sánchez', 'player_number': '27'}, {'player_name': ' Cardozo', 'player_number': '22'}, {'player_name': ' Escobar', 'player_number': '5'}, {'player_name': ' Sánchez', 'player_number': '13'}]","['Salas', 'Barticciotto', 'Benítez', 'Farías', 'Dávila', 'Carrasco', 'Véjar', 'Suárez', 'Ceza', 'Zúñiga', 'Rigamonti']","['9', '14', '11', '5', '10', '7', '19', '13', '4', '28', '1']","['Holgado', 'Cabral', 'Chandía', 'Galani', 'Glaby', 'Farfán', 'Cornejo', 'Sánchez', 'Cardozo', 'Escobar', 'Sánchez']","['9', '29', '31', '7', '6', '17', '16', '27', '22', '5', '13']"
